ID,text,answer,difficulty_ID,topic_ID,group_ID,progress_ID
dc9e5c04-2cac-07d7-16b0-f21a7b690e11,Be able to explain who need to create the following XSUAA artifacts and in what precedence:/n  0) scopes  1) Role-templates  2) Roles  3) Role collections,,69aebb3c-1d3f-b6be-f4b8-06cb0932b145,ce8100f0-f076-5296-8d91-f006842bc27d,fe0adaf0-8fa4-e825-941c-01dd5a505356,0d12baa0-a0c1-23a9-7182-7063e63a6d12
4c84766d-0e34-9147-633a-37670b397c93,Understand how to configure custom identity provider and map user groups to role collections/n,,69aebb3c-1d3f-b6be-f4b8-06cb0932b145,ce8100f0-f076-5296-8d91-f006842bc27d,fe0adaf0-8fa4-e825-941c-01dd5a505356,0d12baa0-a0c1-23a9-7182-7063e63a6d12
09f962a2-62b9-488f-3d4a-636d219251c5,How to communicate with XSUAA API and get a JWT via:/n  0) Client Credential Grant  1) Authorisation Code Grant,,69aebb3c-1d3f-b6be-f4b8-06cb0932b145,ce8100f0-f076-5296-8d91-f006842bc27d,fe0adaf0-8fa4-e825-941c-01dd5a505356,0d12baa0-a0c1-23a9-7182-7063e63a6d12
4d743d20-5663-cfd4-cc12-407eaa3b201b,Understand why extensibility in SAP’s business applications matters. Ability to give some real use cases where it matters./n,,83889ebe-dd29-46bf-e52c-c29bb43f1f2d,4c0d4b6e-4c3a-cd89-995f-aea11026c3da,b06e4663-a14b-6943-07fe-13e699f62cc8,0d12baa0-a0c1-23a9-7182-7063e63a6d12
0ccd9486-fb9d-f284-2d6a-e06a55eabb4e,Be aware of UI Adaptation editor (Layout editor) capabilities/n,,83889ebe-dd29-46bf-e52c-c29bb43f1f2d,4c0d4b6e-4c3a-cd89-995f-aea11026c3da,b06e4663-a14b-6943-07fe-13e699f62cc8,0d12baa0-a0c1-23a9-7182-7063e63a6d12
a1d523bf-f9fe-b577-1338-6741a3b6627c,Understand the stable ids concept./n,,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,4c0d4b6e-4c3a-cd89-995f-aea11026c3da,b06e4663-a14b-6943-07fe-13e699f62cc8,0d12baa0-a0c1-23a9-7182-7063e63a6d12
d26b4e9c-8487-7825-8d3b-cece5975ad55,Know the main aspects of the app extension via component / manifest configuration:/n  0) Controller extension. Hooks in the standard controller.  1) Controller replacement.  2) View extension.  3) View modification.  4) View replacement.  5) Extension points in view.,,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,4c0d4b6e-4c3a-cd89-995f-aea11026c3da,b06e4663-a14b-6943-07fe-13e699f62cc8,0d12baa0-a0c1-23a9-7182-7063e63a6d12
607e0698-ffe4-85c3-92d4-899524cb3878,"Know how to implement localized texts for extended apps, i18n enhancement./n",,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,4c0d4b6e-4c3a-cd89-995f-aea11026c3da,b06e4663-a14b-6943-07fe-13e699f62cc8,0d12baa0-a0c1-23a9-7182-7063e63a6d12
bf92187d-f026-4c1e-2a58-68ad6a5302f7,"Know Limitations, caveats, supportability./n",,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,4c0d4b6e-4c3a-cd89-995f-aea11026c3da,b06e4663-a14b-6943-07fe-13e699f62cc8,0d12baa0-a0c1-23a9-7182-7063e63a6d12
c6583405-bae3-08f4-6d05-e66d924eb463,Be aware of /n,,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,4c0d4b6e-4c3a-cd89-995f-aea11026c3da,b06e4663-a14b-6943-07fe-13e699f62cc8,0d12baa0-a0c1-23a9-7182-7063e63a6d12
b12ac687-53b6-fd2d-deed-8457e1f63c9f,Be aware of SAPUI Flexibility features (run-time adaptation)./n,,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,4c0d4b6e-4c3a-cd89-995f-aea11026c3da,b06e4663-a14b-6943-07fe-13e699f62cc8,0d12baa0-a0c1-23a9-7182-7063e63a6d12
ba8b243d-a610-6f30-ab11-ab9f0d972de7,Understand the difference between the app in local environment and app in deployed one. Understand the features that the app should possess in order to successfully operate in a deployed environment./n,,83889ebe-dd29-46bf-e52c-c29bb43f1f2d,4c0d4b6e-4c3a-cd89-995f-aea11026c3da,d198d4bd-d6d5-0735-8aa0-b4f1f635d738,0d12baa0-a0c1-23a9-7182-7063e63a6d12
4d377bbc-10c8-5543-32fe-93c79a183aec,"Be aware of the web app build approaches (grunt, gulp, SAP IBSO SAPUI5 Tools)./n",,83889ebe-dd29-46bf-e52c-c29bb43f1f2d,4c0d4b6e-4c3a-cd89-995f-aea11026c3da,d198d4bd-d6d5-0735-8aa0-b4f1f635d738,0d12baa0-a0c1-23a9-7182-7063e63a6d12
03b32002-2b5d-597c-e228-8adad3b56dad,Understand what a Component-preload file is./n,,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,4c0d4b6e-4c3a-cd89-995f-aea11026c3da,d198d4bd-d6d5-0735-8aa0-b4f1f635d738,0d12baa0-a0c1-23a9-7182-7063e63a6d12
f13de082-e484-0c69-a89b-51242e8f6fd0,Be aware of the main features of UI5 tooling:/n  0) Main tasks.  1) Ability to implement custom middlewares.  2) Building types & aspects.,,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,4c0d4b6e-4c3a-cd89-995f-aea11026c3da,d198d4bd-d6d5-0735-8aa0-b4f1f635d738,0d12baa0-a0c1-23a9-7182-7063e63a6d12
346e2165-f7c9-f8db-7bc0-fb5fa7217079,Be aware of deployment to SCP Neo procedure./n,,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,4c0d4b6e-4c3a-cd89-995f-aea11026c3da,d198d4bd-d6d5-0735-8aa0-b4f1f635d738,0d12baa0-a0c1-23a9-7182-7063e63a6d12
df032edb-910a-848d-b2a2-46b4972c6632,Be aware of deployment to SCP CF procedure./n,,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,4c0d4b6e-4c3a-cd89-995f-aea11026c3da,d198d4bd-d6d5-0735-8aa0-b4f1f635d738,0d12baa0-a0c1-23a9-7182-7063e63a6d12
1564e884-880c-c7df-7327-67f46f4d3abb,Be aware how to work with SAP Project Portal and Gerrit/n,,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,4c0d4b6e-4c3a-cd89-995f-aea11026c3da,d198d4bd-d6d5-0735-8aa0-b4f1f635d738,0d12baa0-a0c1-23a9-7182-7063e63a6d12
6de8e6a1-16d6-eb7c-c971-dd6019c4150a,"Be aware of the web app build approaches (grunt, gulp, UI5 tooling)./n",,69aebb3c-1d3f-b6be-f4b8-06cb0932b145,4c0d4b6e-4c3a-cd89-995f-aea11026c3da,d198d4bd-d6d5-0735-8aa0-b4f1f635d738,0d12baa0-a0c1-23a9-7182-7063e63a6d12
f757b176-4910-4f26-5c1e-0fe905dbdd3e,Be aware of deployment to ABAP repository via transport request (Web IDE) procedure./n,,69aebb3c-1d3f-b6be-f4b8-06cb0932b145,4c0d4b6e-4c3a-cd89-995f-aea11026c3da,d198d4bd-d6d5-0735-8aa0-b4f1f635d738,0d12baa0-a0c1-23a9-7182-7063e63a6d12
